Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,State
208,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1200,900,20-Mar-23,
209,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1200,900,22-Mar-23,
210,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1800,1200,04-Jun-25,
211,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1100,950,07-Aug-20,
212,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1500,1150,03-Jul-23,
213,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1500,1150,08-May-25,
214,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1600,1200,22-Apr-25,
215,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1800,1300,06-Feb-24,
216,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1900,1350,25-Jul-25,
217,Jaipur,Jaipur (F&V),Onion,Other,FAQ,900,1900,1400,29-Jul-25,
218,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,1700,1350,26-Apr-24,
219,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,3000,2000,03-Jan-24,
220,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,2000,1600,09-May-24,
221,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,2100,1650,21-Oct-22,
222,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1200,2200,1700,24-Dec-24,
223,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1400,2100,1750,20-Jul-21,
224,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1400,2800,2100,18-Aug-23,
225,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,08-Jan-25,
226,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,16-Mar-21,
227,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1500,2500,2000,22-Dec-20,
228,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1700,2600,2150,29-Jan-25,
229,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1700,2600,2150,30-Jan-25,
230,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2000,2400,2200,16-Jan-24,
231,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2200,3300,2750,11-Dec-23,
232,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2400,3200,2800,01-Jul-24,
233,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3100,2800,22-Feb-21,
234,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3500,3000,10-Feb-21,
235,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3500,3000,17-Jan-20,
236,Jaipur,Jaipur (F&V),Onion,Other,FAQ,2500,3800,3150,11-Dec-24,
237,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4000,3500,14-Oct-21,
238,Jaipur,Jaipur (F&V),Onion,Other,FAQ,3000,4800,3900,06-Nov-24,
239,Jaipur,Jaipur (F&V),Onion,Other,FAQ,400,1100,750,17-Jun-20,
240,Jaipur,Jaipur (F&V),Onion,Other,FAQ,600,1250,925,11-May-23,
241,Jaipur,Jaipur (F&V),Onion,Other,FAQ,700,1100,900,17-Apr-23,
242,Jaipur,Jaipur (F&V),Onion,Other,FAQ,750,1500,1125,14-Sep-22,
243,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1500,1150,24-Apr-25,
244,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1600,1200,01-May-25,
245,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1600,1200,21-Apr-25,
246,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,1900,1350,12-Jul-23,
247,Jaipur,Jaipur (F&V),Onion,Other,FAQ,800,2000,1400,03-Jul-25,
248,Jaipur,Jaipur (F&V),Onion,Other,FAQ,850,1640,1245,27-Jul-23,
249,Jaipur,Jaipur (F&V),Onion,Other,FAQ,900,1800,1350,07-Nov-22,
250,Jaipur,Jaipur (F&V),Onion,Other,FAQ,900,1800,1350,11-Aug-25,
251,Jaipur,Jaipur (F&V),Onion,Other,FAQ,900,1900,1400,08-Aug-25,
252,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,1700,1350,01-May-24,
253,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,1700,1350,02-May-24,
254,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,1700,1350,10-Nov-22,
255,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,1800,1400,15-May-24,
256,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2000,1500,16-May-24,
257,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2000,1500,22-Feb-24,
258,Jaipur,Jaipur (F&V),Onion,Other,FAQ,1000,2000,1500,28-May-24,
